month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3
3,9,17,25,33,0.19,0.41,0.49,0.13
3,9,17,26,33,0.19,0.41,0.49,0.13
3,9,17,27,33,0.19,0.41,0.49,0.13
3,9,17,28,33,0.19,0.41,0.49,0.13
3,9,17,29,33,0.19,0.41,0.49,0.13
3,9,17,30,33,0.19,0.41,0.49,0.13
3,9,17,31,33,0.19,0.42,0.49,0.18
3,9,17,32,33,0.19,0.42,0.48,0.13
3,9,17,33,33,0.19,0.41,0.49,0.13
3,9,17,34,33,0.19,0.41,0.49,0.13
3,9,17,35,34,0.19,0.41,0.49,0.13
3,9,17,36,34,0.19,0.41,0.49,0.13
3,9,17,37,34,0.19,0.41,0.49,0.13
3,9,17,38,34,0.19,0.41,0.49,0.13
3,9,17,39,34,0.19,0.41,0.49,0.13
3,9,17,40,34,0.19,0.41,0.49,0.13
3,9,17,41,34,0.19,0.41,0.5,0.13
3,9,17,42,34,0.19,0.41,0.5,0.13
3,9,17,43,34,0.19,0.41,0.5,0.13
3,9,17,44,34,0.19,0.41,0.5,0.13
3,9,17,45,34,0.19,0.41,0.5,0.13
3,9,17,46,34,0.19,0.41,0.5,0.13
3,9,17,47,34,0.19,0.41,0.5,0.13
3,9,17,48,34,0.18,0.41,0.5,0.14
3,9,17,49,34,0.19,0.41,0.5,0.14
3,9,17,50,34,0.18,0.41,0.5,0.14
3,9,17,51,34,0.18,0.41,0.5,0.15
3,9,17,52,34,0.22,0.42,0.5,0.16
3,9,17,53,34,0.18,0.41,0.5,0.14
3,9,17,54,34,0.18,0.41,0.5,0.14
3,9,17,55,35,0.18,0.41,0.51,0.14
3,9,17,56,35,0.18,0.41,0.51,0.13
3,9,17,57,35,0.18,0.41,0.51,0.13
3,9,17,58,35,0.18,0.41,0.51,0.13
3,9,17,59,35,0.18,0.41,0.53,0.13
3,9,18,0,35,0.18,0.41,0.51,0.13
3,9,18,1,35,0.18,0.41,0.51,0.13
3,9,18,2,35,0.18,0.44,0.52,0.17
3,9,18,3,35,0.18,0.41,0.51,0.13
3,9,18,4,35,0.18,0.41,0.51,0.13
3,9,18,5,35,0.18,0.41,0.52,0.13
3,9,18,6,35,0.18,0.41,0.52,0.13
3,9,18,7,35,0.18,0.41,0.52,0.13
3,9,18,8,35,0.18,0.41,0.52,0.13
3,9,18,9,35,0.18,0.41,0.52,0.13
3,9,18,10,35,0.18,0.41,0.52,0.13
3,9,18,11,35,0.18,0.41,0.52,0.13
3,9,18,12,35,0.18,0.41,0.52,0.13
3,9,18,13,35,0.18,0.41,0.52,0.13
3,9,18,14,35,0.18,0.41,0.52,0.13
3,9,18,15,36,0.18,0.41,0.52,0.13
3,9,18,16,36,0.18,0.41,0.52,0.13
3,9,18,17,36,0.18,0.41,0.52,0.13
3,9,18,18,36,0.18,0.41,0.52,0.13
3,9,18,19,36,0.18,0.41,0.52,0.13
3,9,18,20,36,0.18,0.41,0.52,0.13
3,9,18,21,36,0.18,0.41,0.52,0.13
3,9,18,22,36,0.19,0.41,0.52,0.13
3,9,18,23,36,0.22,0.42,0.52,0.15
3,9,18,24,36,0.19,0.41,0.52,0.13
3,9,18,25,36,0.19,0.41,0.52,0.14
3,9,18,26,36,0.19,0.41,0.52,0.15
3,9,18,27,36,0.19,0.41,0.52,0.15
3,9,18,28,36,0.19,0.41,0.52,0.15
3,9,18,29,36,0.19,0.41,0.52,0.14
3,9,18,30,36,0.19,0.41,0.53,0.14
3,9,18,31,36,0.19,0.41,0.54,0.14
3,9,18,32,36,0.19,0.41,0.54,0.14
3,9,18,33,36,0.24,0.42,0.54,0.16
3,9,18,34,36,0.19,0.41,0.54,0.13
3,9,18,35,37,0.19,0.41,0.54,0.13
3,9,18,36,37,0.19,0.41,0.55,0.14
3,9,18,37,37,0.19,0.41,0.55,0.14
3,9,18,38,37,0.19,0.41,0.55,0.14
3,9,18,39,37,0.19,0.41,0.55,0.13
3,9,18,40,37,0.19,0.41,0.55,0.13
3,9,18,41,37,0.19,0.41,0.55,0.14
3,9,18,42,37,0.19,0.41,0.55,0.14
3,9,18,43,37,0.19,0.41,0.56,0.18
3,9,18,44,37,0.19,0.41,0.55,0.14
3,9,18,45,37,0.19,0.41,0.54,0.14
3,9,18,46,37,0.19,0.41,0.54,0.14
3,9,18,47,37,0.19,0.41,0.54,0.14
3,9,18,48,37,0.19,0.41,0.54,0.14
3,9,18,49,37,0.19,0.41,0.54,0.14
3,9,18,50,37,0.19,0.41,0.54,0.14
3,9,18,51,37,0.19,0.41,0.54,0.14
3,9,18,52,37,0.19,0.41,0.54,0.14
3,9,18,53,37,0.19,0.41,0.54,0.14
3,9,18,54,37,0.19,0.41,0.54,0.14
3,9,18,55,38,0.19,0.41,0.54,0.14
3,9,18,56,38,0.19,0.41,0.54,0.14
3,9,18,57,38,0.19,0.41,0.54,0.14
3,9,18,58,38,0.19,0.41,0.54,0.14
3,9,18,59,38,0.19,0.41,0.54,0.13
3,9,19,0,38,0.19,0.41,0.54,0.13
3,9,19,1,38,0.19,0.41,0.54,0.14
3,9,19,2,38,0.19,0.41,0.54,0.14
3,9,19,3,38,0.19,0.41,0.54,0.14
3,9,19,4,38,0.22,0.42,0.54,0.17
3,9,19,5,38,0.19,0.41,0.54,0.15
3,9,19,6,38,0.19,0.41,0.54,0.15
3,9,19,7,38,0.19,0.41,0.54,0.15
3,9,19,8,38,0.19,0.41,0.54,0.14
3,9,19,9,38,0.19,0.42,0.54,0.14
3,9,19,10,38,0.19,0.42,0.53,0.14
3,9,19,11,38,0.19,0.42,0.53,0.14
3,9,19,12,38,0.19,0.41,0.53,0.14
3,9,19,13,38,0.19,0.41,0.53,0.14
3,9,19,14,38,0.19,0.44,0.53,0.17
3,9,19,15,39,0.19,0.41,0.53,0.14
3,9,19,16,39,0.19,0.41,0.52,0.13
